tweets,timestamps
"Epic is set to lose at least $330 million in its battle to gain market share from Steam, mainly due to it offering exclusive games and free titles on its Epic Games Store. https://t.co/ql3VcUXmmg https://t.co/voC3uqz92v",2021-04-10 21:01:01
"What if you combined the style of Borderlands, the movement of Spider-Man or Attack on Titan, and put them into a VR arcade shooter? 

You'd get Swarm!

Check out the trailer for this awesome new title from Greensky Games. https://t.co/j8ooLKBkS4",2021-04-10 20:31:40
"Godzilla vs. Kong is the first MonsterVerse movie where one of the monsters is the ACTUAL main character. And he's the hero to boot.

Here's why: https://t.co/X9bqPVa5E5 https://t.co/AXey6q5tlB",2021-04-10 19:31:01
Check out brand-new gameplay for Hot Wheels Unleashed in all its plastic glory. Beat that! https://t.co/oyRrBVC11s,2021-04-10 19:16:00
"Disney has teased a realistic, working, retractable lightsaber prototype that may be coming soon to Walt Disney World, Disneyland, and more. https://t.co/F5YVYgd1ey https://t.co/Olq12eKmsx",2021-04-10 18:31:01
"IGN's staff has fun with theories, questions, and speculation about Falcon and Winter Soldier's Episode 4, including what we think will become of the Super Soldier Serum before the end of this season. https://t.co/8ydwDACWHV https://t.co/iQEHCpwQku",2021-04-10 17:31:01
"Age of Empires 4's first civilizations, campaign, and gameplay details have been revealed: https://t.co/4ijr16GPwi https://t.co/D42Y4VCgjg",2021-04-10 16:31:02
"Invincible's fifth episode includes complex characters and social commentary that lend emotional weight to its now-expected gory fights.

Our review from @SiddhantAdlakha: https://t.co/QkXCeASizy https://t.co/AWKfZeqfFF",2021-04-10 16:01:02
Why Kong is the true hero of Godzilla vs. Kong: https://t.co/aDcBA6x3nR https://t.co/90dOPBtL1r,2021-04-10 15:31:02
"With a new report suggesting PlayStation is relying on big blockbusters over all else, here's why Sony's focus on games that are too big to fail is... a bit concerning: https://t.co/m7Q4v8cvtr https://t.co/SeYvXUGUi3",2021-04-10 15:01:01
"The Otterbox Easy Grip Shell adds protection – and bulk – to your Xbox controller.

Our review: https://t.co/7vFocrkJag https://t.co/P0hJ1PNuUf",2021-04-10 14:00:14
"We had It Takes Two director Josef Fares respond to some of our favorite IGN comments.

Naturally, he did not disappoint: https://t.co/LIOzQIkj88 https://t.co/adQ4JOJou6",2021-04-10 13:01:01
"The THX Onyx audio dongle is a fantastic upgrade for your smartphone or PC - it’s expensive, but sounds amazing and offers tons of power.

Our review: https://t.co/IwZohIbgvR https://t.co/VUrt0HUA48",2021-04-10 12:00:12
Check out this Diablo 2 vs Diablo 2 Resurrected comparison to see how far its graphics have come: https://t.co/5mJN9hjCju https://t.co/SXcS1RDyqP,2021-04-10 11:00:12
"The Backbone One phone controller succeeds in blurring the lines between console and mobile gaming with its tight integration of hardware and software.

Our review: https://t.co/YAWZMSLKib https://t.co/YfOVl5GyoR",2021-04-10 10:00:04
"From Donnie Darko to Shrek: 20th Anniversary Edition, here are all the upcoming 4K UHD and Blu-ray release dates we know of: https://t.co/VOzllMPuks https://t.co/7EBmSjsecI",2021-04-10 09:00:09
